hostname,layer,location,cpu_cores,single_core_score,base_single_core_score,memory_GiB,ingress_bandwidth_Mbps,egress_bandwidth_Mbps,uptime_30d_percentage,cost
0,cloud,cloud-location-0,4,1629,1000,16,542.4227477432531,3174.823594095255,99.1158561712778,524.6246405629793
1,cloud,cloud-location-0,32,1385,1000,128,20808.56013772206,7216.329539914858,99.22613846994663,6885.833936092447
2,cloud,cloud-location-0,32,1771,1000,64,30726.198249254543,41356.600790402365,95.50323439498722,4197.772422473979
3,cloud,cloud-location-0,4,1720,1000,16,3305.1926544494936,1639.371394277814,98.87362495532687,789.4505301078448
4,cloud,cloud-location-0,16,936,1000,32,19292.35940277687,17304.07254979015,97.34075436004116,4116.735138676408
5,cloud,cloud-location-0,8,1161,1000,16,10937.160765850973,11290.45393191614,99.03021600438444,1180.0317699562745
6,cloud,cloud-location-0,16,1757,1000,32,7878.274582758664,5045.410815293037,99.31147680736215,4460.205478599506
7,cloud,cloud-location-0,4,1066,1000,16,5232.800432808193,3393.1825650505875,95.884593534264,791.3515602086259
8,cloud,cloud-location-0,32,1248,1000,128,23251.09674579389,21597.673838790055,100.0,7049.8809986834785
9,cloud,cloud-location-0,16,1157,1000,64,3381.8167399301587,797.1193740863957,100.0,4002.488531356336
10,cloud,cloud-location-0,16,1785,1000,32,7807.779899928552,23482.354425461446,97.79113393427689,3581.939438825194
11,cloud,cloud-location-0,16,1652,1000,64,5117.614973299068,23447.97865572243,97.9590861743926,2824.5895429079355
12,cloud,cloud-location-0,16,1188,1000,64,7479.708890230055,6720.681491021656,100.0,4602.167303985669
13,cloud,cloud-location-0,4,1450,1000,16,5436.976272589016,351.23117665043054,97.60011053285216,497.8778371394835
14,cloud,cloud-location-0,32,1720,1000,128,3379.1274231922484,6235.2975617230895,98.6955383515889,5601.32070133946
15,cloud,cloud-location-0,16,1005,1000,64,15330.488131856482,6794.767248815881,95.0652044476737,2676.903668992282
16,cloud,cloud-location-0,32,1684,1000,128,17884.061861984388,33877.974105715395,97.63418791920088,4350.890633585974
17,cloud,cloud-location-0,32,1529,1000,64,44150.66348360745,31739.706859375736,97.48535557613651,5859.412070544901
18,cloud,cloud-location-0,8,1419,1000,32,,,97.88472753752976,1355.3247972721708
19,cloud,cloud-location-0,16,1774,1000,64,,,98.52632574806329,4399.506713264393
