# generated at: 2026-05-25 18:42:56.027183
#
#### Overview
# nodes: 900
# cloud clusters: 2
# 	max size: 124
# 	min size: 56
# fog clusters: 32
# 	max size: 42
# 	min size: 9
# nodes with bandwidth specified: 270
# 	cloud: 54
# 	fog: 216
# total CPU cores: 5420
# total memory GiB: 16192
# total ingress Mbps: 1112331.4040363294
# total egress Mbps: 1419543.5965259925
#
#### Used Config
#
# n: 900
# cloud_size_percentage: 20
# fog_size_percentage: 80
# min_max_cloud_cluster_size_percentage: [5, 15]
# min_max_fog_cluster_size_percentage: [1, 5]
# cloud_node_types: ['T4', 'T5', 'T6', 'T7', 'T8', 'T9', 'T10']
# fog_node_types: ['T1', 'T2', 'T3', 'T4']
# base_node_single_core_score: 1000
# min_max_cloud_node_single_core_score: [900, 1800]
# min_max_fog_node_single_core_score: [500, 1200]
# min_max_cluster_node_cost_per_core: [100, 300]
# nodes_with_bandwidth_capacity_percentage: 30
# min_max_ingress_bandwidth_per_core: [10, 1500]
# min_max_egress_bandwidth_per_core: [10, 1500]
# min_max_cloud_uptime_percentage_30_days: [97, 100]
# min_max_fog_uptime_percentage_30_days: [90, 100]
# min_max_intra_cluster_latencies: [2, 5]
# min_max_inter_cluster_latencies: [15, 50]
#
hostname,layer,location,cpu_cores,single_core_score,base_single_core_score,memory_GiB,ingress_bandwidth_Mbps,egress_bandwidth_Mbps,uptime_30d_percentage,cost
0,cloud,cloud-location-0,32,919,1000,64,40185.376719304775,29796.26502970253,99.92763666088395,8013.754488143472
1,cloud,cloud-location-0,8,1462,1000,32,6111.44902822349,10923.157962660336,99.275575256345,1956.2512821956411
2,cloud,cloud-location-0,32,1084,1000,128,16332.827254454529,30835.79738520305,99.82149252917536,5376.599798871375
3,cloud,cloud-location-0,4,1687,1000,16,5222.319881756926,5968.90876947546,97.0023227210261,554.984413396018
4,cloud,cloud-location-0,16,1391,1000,32,19685.923163662577,2816.965533947203,97.29868181640191,4305.182645482735
5,cloud,cloud-location-0,8,1479,1000,32,5446.960282151518,3859.838108033618,97.59584151643266,1097.1111892145113
6,cloud,cloud-location-0,16,1359,1000,64,839.5486581621072,12942.13625018252,99.01007557351708,2687.64958137793
7,cloud,cloud-location-0,8,1298,1000,32,9726.645979885532,7712.217124735061,98.16822198580222,1713.757401210057
8,cloud,cloud-location-0,8,1470,1000,16,10333.326233877213,7787.7162561429295,99.71648227485731,1234.8421828587666
9,cloud,cloud-location-0,16,1578,1000,32,22965.743497073054,11908.214599838104,97.66831350640558,1685.2630367638567
10,cloud,cloud-location-0,32,1173,1000,128,23417.821641194165,45306.30996025461,98.94864106443696,6243.153289301914
11,cloud,cloud-location-0,4,1155,1000,16,2343.789565328045,1256.5052516208048,97.37426404358965,464.41403458859867
12,cloud,cloud-location-0,8,1353,1000,16,2821.822022405361,10196.026941620079,98.76473692509522,1976.870470563532
13,cloud,cloud-location-0,32,1533,1000,128,4542.0823181578435,40238.79927598347,97.37397854073338,3864.233328840291
14,cloud,cloud-location-0,16,1076,1000,32,18802.61428488769,14977.632590613048,97.09121281826542,1698.7527621632194
15,cloud,cloud-location-0,8,1685,1000,32,3538.348426688718,4316.5299670061695,97.59622291294407,1485.971543809715
16,cloud,cloud-location-0,32,967,1000,64,27460.320527235875,11637.333448062078,99.85869657624373,4487.484583859009
17,cloud,cloud-location-0,32,1249,1000,128,17094.13360181288,46276.64197164248,98.69147417858747,4935.9494250642065
18,cloud,cloud-location-0,16,1759,1000,32,10511.425005449835,13613.019929817308,97.38609596557615,3832.203294085242
19,cloud,cloud-location-0,32,1656,1000,64,29965.490256165845,36179.12642543924,99.19354510400878,3886.2808005664638
20,cloud,cloud-location-0,4,1309,1000,16,4551.284603029549,2221.183370393787,98.4970763299453,1083.849661901303
21,cloud,cloud-location-0,32,1468,1000,64,3649.920952946473,36890.1039397476,97.22387003603586,3287.8587658782103
22,cloud,cloud-location-0,32,902,1000,64,2186.4045601851367,28877.594873405036,99.6167132597279,4189.679739833256
23,cloud,cloud-location-0,4,1332,1000,16,471.8807527431322,3791.515154179076,98.92072589797691,784.3704056546774
24,cloud,cloud-location-0,32,1553,1000,128,40319.04850023307,19804.741123800817,98.37471466951982,7159.561454767752
25,cloud,cloud-location-0,8,1294,1000,32,6790.315932289357,8078.985607217004,98.10393328575721,1703.7427245405486
26,cloud,cloud-location-0,16,1046,1000,32,6516.111569258363,4138.16267401933,97.54463280503549,1644.8779826530567
27,cloud,cloud-location-0,32,1588,1000,64,10869.732165906664,22784.183971564926,98.91089027109814,5850.093386844503
28,cloud,cloud-location-0,32,1198,1000,64,4430.4977099819735,19153.651983414446,97.13539354410598,3978.3276796383234
29,cloud,cloud-location-0,16,1027,1000,64,722.4656206477046,23859.875263781312,97.63583209058379,3602.5652075323337
30,cloud,cloud-location-0,8,935,1000,16,4957.519561699098,3650.220531018365,98.97059452610179,2329.265350760923
31,cloud,cloud-location-0,16,1642,1000,32,12326.712134530811,12498.544295748192,97.35721399032971,4316.602539469399
32,cloud,cloud-location-0,32,1516,1000,64,32947.19936645846,17394.827511624244,97.8696018754612,3381.822753937894
33,cloud,cloud-location-0,8,931,1000,16,686.9430115142796,9918.853670118193,99.04047577783051,1032.2234739102785
34,cloud,cloud-location-0,16,989,1000,64,2327.4513019071073,18500.1907269012,98.6565441066448,4010.376190036856
35,cloud,cloud-location-0,32,1626,1000,128,1252.8231030940806,15138.838853131732,97.12324904467536,9290.991537072947
36,cloud,cloud-location-0,16,1777,1000,64,356.3833138844486,5067.602926686276,97.50773147272858,4255.089327462078
37,cloud,cloud-location-0,8,1524,1000,32,377.5229216352997,9171.225613619195,99.2630604646003,1465.2899056306012
38,cloud,cloud-location-0,16,1260,1000,64,18188.56002445842,7780.740402562125,98.44646609548333,1837.2875035752784
39,cloud,cloud-location-0,32,1046,1000,64,4301.042371109612,47576.22003318988,98.13469544722216,4327.281044753653
40,cloud,cloud-location-0,16,1305,1000,32,4077.9358206672405,6123.867680526377,99.05047062545559,3512.8094418997443
41,cloud,cloud-location-0,8,1057,1000,16,6682.865090421188,4826.661762763853,98.68317851205893,1468.2530925460328
42,cloud,cloud-location-0,32,1701,1000,128,44931.59891398356,21455.221211831755,98.26150567135964,6156.839473195774
43,cloud,cloud-location-0,32,1714,1000,128,32583.18120294551,39972.01120139031,98.2434003391961,9249.21686566874
44,cloud,cloud-location-0,16,1701,1000,64,21999.1829294985,10844.123324906603,99.2871676027258,4028.3185480650127
45,cloud,cloud-location-0,4,1739,1000,16,822.5416509795028,5551.538471533722,99.9481507590823,713.1583632426316
46,cloud,cloud-location-0,32,911,1000,64,13532.353719594626,27899.00473858969,98.893179006917,6892.319944146451
47,cloud,cloud-location-0,8,1674,1000,16,8921.617108254497,9816.459819271791,99.87192749715898,2099.291104924783
48,cloud,cloud-location-0,32,1078,1000,64,36980.59684972988,2625.766284321095,99.90417850347085,4687.3156903650215
49,cloud,cloud-location-0,16,1749,1000,32,14367.861817867346,10265.391758621845,99.15728747230342,2366.4019891035223
