# generated at: 2024-07-08 09:46:28.253367
#
# nodes: 10000
# cloud clusters: 5
# 	max size: 842
# 	min size: 388
# fog clusters: 1156
# 	max size: 10
# 	min size: 2
# nodes with bandwidth specified: 1000
# 	cloud: 300
# 	fog: 700
# total CPU cores: 69484
# total memory GiB: 209704
# total ingress Mbps: 4948413.29049783
# total egress Mbps: 5228190.943971082
#
# n: 10000
# cloud_size_percentage: 30
# fog_size_percentage: 70
# min_max_cloud_cluster_size_percentage: [1, 10]
# min_max_fog_cluster_size_percentage: [0.03, 0.1]
# cloud_node_types: ['T4', 'T5', 'T6', 'T7', 'T8', 'T9', 'T10']
# fog_node_types: ['T1', 'T2', 'T3', 'T4']
# base_node_single_core_score: 1000
# min_max_cloud_node_single_core_score: [900, 1800]
# min_max_fog_node_single_core_score: [500, 1200]
# min_max_cluster_node_cost_per_core: [100, 300]
# nodes_with_bandwidth_capacity_percentage: 10
# min_max_ingress_bandwidth_per_core: [10, 1500]
# min_max_egress_bandwidth_per_core: [10, 1500]
# min_max_cloud_uptime_percentage_30_days: [97, 100]
# min_max_fog_uptime_percentage_30_days: [90, 100]
# min_max_intra_cluster_latencies: [2, 5]
# min_max_inter_cluster_latencies: [15, 50]
#
hostname,layer,location,cpu_cores,single_core_score,base_single_core_score,memory_GiB,ingress_bandwidth_Mbps,egress_bandwidth_Mbps,uptime_30d_percentage,cost
0,cloud,cloud-location-0,16,1130,1000,64,17951.27274370355,14888.794638606272,99.30501203719068,4214.286341732879
1,cloud,cloud-location-0,8,1164,1000,32,10721.83806916422,11370.409958459211,98.88305707065484,2132.2925870783247
2,cloud,cloud-location-0,32,1106,1000,128,24839.47723271108,43244.91725493566,97.2367079021789,6833.88165325799
3,cloud,cloud-location-0,16,1118,1000,32,5237.9541833269905,15504.75986134078,97.14279888850947,3480.3049292335545
4,cloud,cloud-location-0,8,1788,1000,32,7554.835662639216,11261.62933113915,99.91570729712862,2363.956963855804
5,cloud,cloud-location-0,8,1029,1000,32,7895.646519376378,571.045240245349,98.56913279363282,1027.9086240106449
6,cloud,cloud-location-0,16,1049,1000,64,4720.620046076251,10321.145616022352,99.31247836503528,1909.565686013917
7,cloud,cloud-location-0,8,1563,1000,16,5924.221102909437,3054.3370388607323,97.05738452374224,939.7589250004836
8,cloud,cloud-location-0,16,1779,1000,32,20883.611706261858,14853.19282993792,98.26878780455718,1620.2508971438597
9,cloud,cloud-location-0,32,1245,1000,64,6524.68546006834,20357.9080600158,99.996097980866,7405.657091419243
10,cloud,cloud-location-0,32,1495,1000,64,26677.581504463797,23665.86526063762,99.2825894021808,8814.922086598744
11,cloud,cloud-location-0,8,1053,1000,16,11498.710342706596,7297.743076622855,98.05701632278677,853.494400998934
12,cloud,cloud-location-0,32,1379,1000,64,26622.035789490463,7531.698487377208,99.36146687126484,4823.325413682824
13,cloud,cloud-location-0,8,1646,1000,16,794.0446160018952,10555.651067326891,97.9280889977762,1596.8327232451743
14,cloud,cloud-location-0,16,956,1000,32,22320.91244736848,20539.489027213447,97.419004220621,1889.742143571784
15,cloud,cloud-location-0,16,938,1000,64,7667.9483114647555,1536.912598798943,99.18315725967416,2518.58292900149
16,cloud,cloud-location-0,16,1363,1000,64,7785.854350277632,1537.4571782719388,99.708380949603,3954.527706520187
17,cloud,cloud-location-0,32,1130,1000,64,18062.544267561632,8398.036151477503,97.07943622548818,4456.873931261817
18,cloud,cloud-location-0,32,1569,1000,64,18506.445059909613,16440.553500652553,98.61591509634596,8752.687164268202
19,cloud,cloud-location-0,32,1723,1000,128,4061.531214137178,46764.55758569033,98.59367920638716,4574.242126802263
20,cloud,cloud-location-0,16,1121,1000,64,18253.269437558796,1960.7540411607815,98.50171346846454,4271.488681880512
21,cloud,cloud-location-0,32,968,1000,64,21585.503699751636,30632.349171368223,97.51789014133166,7749.379766554594
22,cloud,cloud-location-0,32,1042,1000,64,18449.2640028408,47542.79986471397,97.48142692869084,9280.555799223172
23,cloud,cloud-location-0,8,1354,1000,32,8115.239954215999,3217.4549497514163,99.35913667720229,1263.6043329220472
24,cloud,cloud-location-0,32,1152,1000,128,38313.07009306561,39752.36363242687,97.65269670811568,4908.749757507911
25,cloud,cloud-location-0,4,1738,1000,16,178.47512837536314,5906.236464188961,97.20807859303216,1018.1327467866876
26,cloud,cloud-location-0,32,1569,1000,64,39914.88934644987,27801.69685730976,98.28029029090318,8570.13207599489
27,cloud,cloud-location-0,4,1271,1000,16,1244.2007554111512,1220.3721294283048,98.94650118124544,1157.050981891634
28,cloud,cloud-location-0,8,1201,1000,16,7116.434750690192,3310.158459344176,99.78823213166962,1808.353960503655
29,cloud,cloud-location-0,16,1259,1000,64,10468.394033771216,5827.154968941137,97.929480106271,3002.5627275215634
30,cloud,cloud-location-0,8,1471,1000,32,2010.8770433556472,7083.960491715421,98.09658707814997,997.8409648337758
31,cloud,cloud-location-0,16,1404,1000,32,9417.6300445892,23030.353119155556,97.86428961809764,3289.117738314855
32,cloud,cloud-location-0,8,1487,1000,32,11934.236234167996,6272.249786461815,98.2854612798694,1658.089960722658
33,cloud,cloud-location-0,32,1545,1000,64,37238.69457900416,6078.982889650445,98.7082015417024,3660.9067795834767
34,cloud,cloud-location-0,4,1668,1000,16,3077.767360000439,158.2202229895357,97.08017815448504,1005.785662098975
35,cloud,cloud-location-0,32,1623,1000,64,39957.02610425266,43717.20847580663,99.27558563940153,7212.630670733445
36,cloud,cloud-location-0,4,1269,1000,16,3301.9601093902193,1753.740327199137,99.99476379786078,980.4763738416798
